ds,yhat,yhat_lower,yhat_upper
2020-09-08,30126.424431259857,23193.468401286784,37279.207620510875
2020-09-09,30346.994336026393,24017.744671731176,37673.1486070941
2020-09-10,30179.924231390098,22863.76038669587,37063.88037192833
2020-09-11,30567.47394339282,23273.451928963612,37186.267364138585
2020-09-12,32944.90528375611,26630.609501506828,40110.06221671268
2020-09-13,33320.22563723295,26352.014169102466,40561.33090849642
2020-09-14,30917.26195858027,23589.347482643894,37622.23250070863
2020-09-15,30089.396909205818,23269.247929127552,36880.69329016948
2020-09-16,30260.907614509928,23742.1377044072,36776.41947464224
2020-09-17,30042.09274895688,22844.174380381308,37312.47276216333
2020-09-18,30377.551817081294,23837.427826996838,37759.57106270369
2020-09-19,32705.706617897187,25456.36666213194,39756.45414554766
2020-09-20,33030.72485045351,25832.474445670432,40056.188152034694
2020-09-21,30576.963783600848,23647.25239368552,37192.00387716527
2020-09-22,29705.192915037176,23053.214880494055,36449.61848782249
2020-09-23,29840.64317358168,22899.83916603466,36595.6142011324
2020-09-24,29593.518041248524,22605.44272558296,36928.03417546382
2020-09-25,29911.37397481156,23060.96704973735,37132.60921408332
2020-09-26,32236.16897235314,25741.113340598367,39401.434681353414
2020-09-27,32568.335031939445,25690.260013776533,39485.531327745375
2020-09-28,30132.56634521471,23206.68506973216,37238.25530014572
2020-09-29,29296.510415858796,22150.784150160616,36218.09288549377
2020-09-30,29485.51763268528,22173.128616183476,35763.41810677383
2020-10-01,29308.535045605346,22256.867012155908,36490.08825847876
2020-10-02,29714.595710202873,22183.369578141625,36433.78748504244
2020-10-03,32147.411529264344,24792.026775470666,38968.89778179155
2020-10-04,32601.62108851379,25884.932296901407,39446.257365070014
2020-10-05,30299.9579375544,23316.911868142175,37388.309945358844
2020-10-06,29614.454188299973,22722.714774865795,36218.75225058713
2020-10-07,29967.942090241835,23622.53934359226,36878.42104214793
2020-10-08,29965.38860922878,22942.41285765423,37001.832594534026
2020-10-09,30554.557044806683,23586.91209135052,37888.215461276035
2020-10-10,33178.21118781761,26214.287108588454,40309.81999232626
2020-10-11,33822.607600472074,26885.00026290772,40392.465282255085
2020-10-12,31706.113299717872,24645.533703156372,38444.40449828532
2020-10-13,31202.989553757132,24490.32671505339,38492.24883722547
2020-10-14,31731.70971895117,25571.95727493647,39217.94186670224
2020-10-15,31891.793595559393,25020.476849068273,38918.58187672936
2020-10-16,32628.69326609407,25679.251807998837,39623.68504288794
2020-10-17,35383.65188773631,28619.336216445998,42489.3875257809
2020-10-18,36134.473686925136,28889.87297906932,43024.299683288504
2020-10-19,34095.61307566093,27205.350646029692,41144.99930221636
2020-10-20,33644.54851184619,26634.090035846897,41031.11482624929
2020-10-21,34196.9136760618,27089.994464371382,41284.72345109125
2020-10-22,34348.81558296498,27152.93329064262,40782.63047498015
2020-10-23,35045.91556072802,27900.22533336124,41954.419455286836
2020-10-24,37730.90091395617,30857.233544177714,44749.9788257112
2020-10-25,38376.478904996686,31843.79714771236,45721.97520870906
2020-10-26,36196.872658927816,29191.471849362617,43697.64872196741
2020-10-27,35576.71088729063,28346.67581521588,42590.67800144789
2020-10-28,35932.89027841056,28655.128296895815,42408.13610059088
2020-10-29,35862.28919873685,29297.075621485925,42886.8929581823
2020-10-30,36314.95166487662,29571.489440548754,43286.4864312468
2020-10-31,38739.07796712531,31775.319137794057,45326.03415047761
2020-11-01,39106.149263655905,31778.922106095884,45808.22311414781
2020-11-02,36633.7397630696,29521.871165102297,43098.15389827117
2020-11-03,35716.83695805876,28342.664330631887,42538.20972091813
2020-11-04,35776.35723572923,29026.504298550095,42478.33723878548
2020-11-05,35412.18657275993,28554.49317175362,42637.80153825686
2020-11-06,35580.410146038994,29088.96314537808,42564.29502791739
2020-11-07,37735.77737563476,30358.034323392432,44472.59919993777
2020-11-08,37848.92667403984,30746.299228271615,44975.54721747412
2020-11-09,35140.49845848439,28108.2242357269,42284.456065973114
2020-11-10,34014.88601304991,27084.261800180182,41000.54221928956
2020-11-11,33895.42016930179,27201.534342600025,40744.08526660235
2020-11-12,33382.768345657365,26630.644730299206,40181.35574125917
2020-11-13,33436.2560179411,26213.74540682682,40257.3731473695
2020-11-14,35513.86626181394,28787.97655058439,42164.10867174057
2020-11-15,35581.63722204864,29009.150091823587,42479.49441804512
2020-11-16,32859.159303411405,25654.324086788012,39810.32625718993
2020-11-17,31755.848805150526,25074.151019072266,38630.825239430786
2020-11-18,31692.900386701072,24385.244164111355,38469.09429071876
2020-11-19,31267.14733131536,24451.929009864954,37907.65932137389
2020-11-20,31436.5793979438,24490.550144458615,38116.78719353079
2020-11-21,33657.980448044465,26324.42333889217,41083.88347406597
2020-11-22,33888.598718996895,27170.55776400491,40335.49984940451
2020-11-23,31343.12229229774,24777.400791402702,38307.14331701284
2020-11-24,30432.56127533769,23116.227257347928,37263.565225695296
2020-11-25,30573.043371451447,23607.658766155022,36809.28857429815
2020-11-26,30355.19836346322,23335.520292570254,37505.39595778845
2020-11-27,30733.92146415688,24144.612749982287,37689.71441845199
2020-11-28,33163.683066276186,26254.414976265947,39910.97936133459
2020-11-29,33592.48996737682,27089.466727409534,40442.0064558137
2020-11-30,31230.340966900447,24417.626557715106,37493.718687485656
2020-12-01,30490.703167125845,23355.924060413625,37487.95539293
2020-12-02,30786.12037537743,23741.552144379482,37028.95710433938
2020-12-03,30703.076536128385,23484.962763196883,37364.0908841676
2020-12-04,31195.94554044011,23805.163457798386,38126.11342477714
2020-12-05,33719.90187646481,26620.352660198405,40620.634421252194
2020-12-06,34217.09129667191,27029.081063735826,41131.95213529614
2020-12-07,31896.47690697457,24752.017376591037,38433.42231314737
2020-12-08,31177.81418390747,23748.49641171686,37939.56893170655
2020-12-09,31473.97354358471,24678.34340655414,37787.59541722596
2020-12-10,31371.1833710788,23908.460531433244,38165.157682074874
2020-12-11,31827.06883476932,24888.636985630434,38681.95988111563
2020-12-12,34301.070399531076,27584.84149948042,41509.01564921802
2020-12-13,34732.73770378356,27610.44064034994,41646.69653358396
2020-12-14,32332.8889081531,25393.15962583007,39469.27775656469
2020-12-15,31530.018139741132,24798.328912179677,38263.632426100085
2020-12-16,31739.278521597,24939.37100373645,38372.19641128691
2020-12-17,31548.064965829577,24911.070085991603,38494.91525214345
2020-12-18,31918.11696743294,24926.105628227324,38676.3895602011
2020-12-19,34313.435231136355,27714.73682508801,41275.240768282296
2020-12-20,34670.70442979562,27750.703598394946,41426.951177694675
2020-12-21,32201.78655587361,25860.7671044007,39591.08654149111
2020-12-22,31342.595892419118,23972.66055909701,38175.41391701464
2020-12-23,31508.790863936796,24633.293955976587,37657.69540773246
2020-12-24,31286.75674851887,24220.247980237164,38555.059245943434
2020-12-25,31639.842595141086,24663.993632943537,38310.83814514672
2020-12-26,34033.854162137264,27341.30284109388,40918.34897915518
2020-12-27,34399.689486595744,26887.70858753197,41199.82562994603
2020-12-28,31947.25356053756,25378.768701431713,39337.8033777973
2020-12-29,31116.889103214868,24296.946109165645,37950.27921519451
2020-12-30,31321.86399783577,24398.850327958044,37827.117832216856
2020-12-31,31144.836768596215,24218.35915665295,37997.19410563714
2021-01-01,31548.304308728053,24411.19784717419,38669.53973447133
2021-01-02,33997.73952984346,27000.5851210776,40622.01188867076
2021-01-03,34416.498056653225,27523.782710176394,41589.061264171636
2021-01-04,32011.20089020423,24942.543630243887,38968.57462625011
2021-01-05,31225.754784747613,24643.073098242123,37544.02555496915
2021-01-06,31470.655370189546,25002.796945821672,38590.66639463583
2021-01-07,31324.94133404009,24201.46588081394,38655.67036019591
2021-01-08,31750.84468297039,25185.425858546274,38778.68989435644
2021-01-09,34214.55094943605,27166.503435230592,41048.11614076415
2021-01-10,34633.34170976889,27505.889349055386,42119.248390984976
2021-01-11,32212.397876671632,25172.05997097187,39366.3522035086
2021-01-12,31401.35169219076,24673.804729293424,38577.33581994235
2021-01-13,31610.33863284586,25162.28562477182,38878.17975917627
2021-01-14,31417.366436583226,24163.374295981666,37946.38362479724
2021-01-15,31787.08922493786,24393.352252298053,38447.1952533258
2021-01-16,34189.10904955115,27237.791341508295,40858.2490930984
2021-01-17,34537.27280143713,27460.83565013672,41106.037586192135
2021-01-18,32037.816810786182,25160.052078762277,38762.221014167306
2021-01-19,31148.375499567206,24132.675249169737,37985.787402413414
2021-01-20,31280.713601121846,24065.855904408556,38070.579384232304
2021-01-21,31013.449983392304,24043.488418598914,37680.37168714681
2021-01-22,31314.905688499704,24405.547760609712,38433.37918262143
2021-01-23,33658.908376742926,27137.989533171964,40731.73414824652
2021-01-24,33956.21775104638,27195.960328218778,40749.80219640181
2021-01-25,31413.99886286919,24478.718740533353,38337.08872784916
2021-01-26,30497.288429625165,23338.990014131752,37162.98754168199
2021-01-27,30618.421928226962,23700.934532133175,38020.77036132561
2021-01-28,30355.13989489733,23095.86241091854,37553.78786909367
2021-01-29,30677.549882222804,23595.41145592171,37601.27135965015
2021-01-30,33061.484975549436,26057.88954713396,40213.74758817223
2021-01-31,33412.118627147334,26155.471978828336,40237.78441061573
2021-02-01,30934.83555818897,23984.589017240083,38199.51238454362
2021-02-02,30099.230683312602,23614.731938596196,37397.5454200835
2021-02-03,30315.309965121025,23352.128617321556,37071.3173869012
2021-02-04,30157.059810110033,23018.06212419092,36292.07463730967
2021-02-05,30593.60304065486,22748.694192110426,37108.984878734685
2021-02-06,33100.18882515067,26295.68856212413,39840.06398750831
2021-02-07,33574.06935627252,26869.967767657196,40827.187917015326
2021-02-08,31216.833867778205,24288.122494915322,37959.60336883541
2021-02-09,30500.996959661523,23494.387597699508,37227.84796100328
2021-02-10,30833.01971869245,23666.852579157436,38173.857965743075
2021-02-11,30782.377155502665,23991.677461469262,37753.32716057013
2021-02-12,31316.930628625953,24360.920558724865,38652.9350619058
2021-02-13,33911.5585195684,26615.229366731743,40647.26206778994
2021-02-14,34456.2907471767,27573.377585796992,41808.452192766155
2021-02-15,32150.088686502226,25230.320748654904,38875.704210046046
2021-02-16,31469.992980572235,24829.49989420646,38427.49380802818
2021-02-17,31820.923156703953,24710.1558941204,38661.768661032205
2021-02-18,31770.190651796176,25031.839980964774,38341.36123156996
2021-02-19,32287.026013771283,25142.688495433955,38617.33417932952
2021-02-20,34848.78113302433,27794.80777740368,41860.97569035188
2021-02-21,35341.24679621949,27851.90984908414,42157.24003865978
2021-02-22,32963.8001595549,26144.739573975723,39892.06940208751
2021-02-23,32201.032278005656,25037.057195009114,39167.48395266023
2021-02-24,32459.24720059621,25171.732900431383,39105.9861458148
2021-02-25,32306.344451462555,25516.942604930864,40042.07021912985
2021-02-26,32715.42980283621,25403.632189148273,39423.20966611258
2021-02-27,35168.52467936785,27861.913799417624,41704.79053731312
2021-02-28,35549.01088841292,28667.773332945086,42597.3591748179
2021-03-01,33058.09975677555,26077.75272663637,40023.96481095323
2021-03-02,32188.904633456415,25397.313381605807,39077.4547993679
2021-03-03,32349.616722355164,25256.9279617036,39487.99722550809
2021-03-04,32108.74680665365,25242.205480099143,39424.93811733962
2021-03-05,32442.82208933922,24976.783342130955,39144.126019377436
2021-03-06,34837.61780649177,28034.46429583237,41724.251354135806
2021-03-07,35172.756201663055,28523.954295138115,42037.230181947976
2021-03-08,32649.5355934743,26191.47499845194,39597.39701128721
2021-03-09,31767.496189788064,25240.63908188704,38711.46971848256
2021-03-10,31934.32967311094,25059.104916486445,38673.92548933552
2021-03-11,31716.544245581383,24724.437603334285,38893.53036812058
2021-03-12,32091.31688436877,25429.141252659036,39096.03854256048
2021-03-13,34545.31986487317,27294.417217701357,42146.476115698744
2021-03-14,34951.5480466813,28261.667209515,41680.97225062955
2021-03-15,32508.581303685674,25255.341451826076,39480.28348177179
2021-03-16,31719.71448379521,25402.122850259922,38392.12724419051
2021-03-17,31989.667116098735,25022.185981047358,38904.1182251765
